text,pos,definition
activation,noun,Making active and effective; bringing into a state of activity.
activation,noun,The process of making a radioisotope by bombarding a stable element with neutrons or protons.
activation,noun,(biochemistry) The process through which molecules are made able to react.
activist,noun,"One who is politically active in the role of a citizen; especially, one who campaigns for change."
activist,noun,One who is conspicuously active in carrying out any occupational or professional functions.
activist,adjective,Behaving as an activist.
ad,noun,Advertisement.
ad,noun,Advantage
ad,noun,(debating) advantage
ad,preposition,"To, toward"
aide,noun,An assistant.
aide,noun,An officer who acts as assistant to a more senior one; an aide-de-camp.
aids,noun,"Help; assistance; succor, relief."
aids,noun,A helper; an assistant.
aids,noun,Something which helps; a material source of help.
aids,noun,"An historical subsidy granted to the crown by Parliament for an extraordinary purpose, such as a war effort."
aids,noun,An exchequer loan.
aids,noun,A pecuniary tribute paid by a vassal to his feudal lord on special occasions.
aids,noun,"An aide-de-camp, so called by abbreviation."
aids,verb,To provide support to; to further the progress of; to help; to assist.
aids,verb,To climb with the use of aids such as pitons.
aircraft,noun,"A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift"
airline,noun,A company that flies airplanes to transport people and goods.
airport,noun,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals."
allegedly,adverb,According to someone's allegation.
allegedly,adverb,According to someone's conspicuous impressions (which could be alleged ensuingly).
app,noun,"An application (program), especially a small one designed for a mobile device."
app,noun,"Application (use, purpose; not a computer program)"
app,noun,Application (to a college etc.)
app,noun,Appetizer
app,noun,"An appearance in a game (e.g., a player with 10 apps in a season played 10 times)"
arguably,adverb,"As can be supported or proven by sound logical deduction, evidence, and precedent."
artwork,noun,"A painting, drawing, sculpture or other piece of creative, visual art"
artwork,noun,Artistic work.
artwork,noun,(reprographics) The graphical elements to be included in a reproduced work.
audio,noun,"A sound, or a sound signal"
audio,adjective,"Focused on audible sound, as opposed to sight."
auto,noun,An automobile.
auto,noun,A setting for automatic operation.
auto,noun,An automatic gearbox / transmission.
auto,noun,A car with an automatic gearbox / transmission.
auto,verb,To travel by automobile.
auto,adjective,Capable of operating without external control or intervention.
auto,adjective,Done out of habit or without conscious thought.
auto,adjective,"Necessary, inevitable, prescribed by logic, law, etc."
auto,adjective,(of a firearm such as a machine gun) Firing continuously as long as the trigger is pressed until ammunition is exhausted.
auto,adjective,"(of a handgun) An autoloader; a semi-automatic or self-loading pistol, as opposed to a revolver or other manually actuated handgun, which fires one shot per pull of the trigger; distinct from machine guns."
auto,adjective,(of a local variable) Automatically added to and removed from the stack during the course of function calls.
auto,adjective,(of a group) Having one or more finite-state automata
auto,noun,An autorickshaw.
awareness,noun,The state or level of consciousness where sense data can be confirmed by an observer.
awareness,noun,The state or quality of being aware of something
backdrop,noun,A decorated cloth hung at the back of a stage.
backdrop,noun,An image that serves as a visual background.
backdrop,noun,The setting or background of an acted performance.
backdrop,noun,Any background situation.
backdrop,verb,To serve as a backdrop for.
backup,noun,A reserve or substitute.
backup,noun,"A copy of a file or record, stored separately from the original, that can be used to recover the original if it is destroyed or damaged."
backup,noun,"An accumulation of material caused by a (partial) obstruction or (complete) blockage of the flow or movement of the material, or an accumulation of material that causes an overflow due to the flow being greater than the maximum possible flow."
backup,noun,(law enforcement) reinforcements
backup,adjective,"Standby, reserve or extra."
backup,adjective,That is intended as a backup.
backup,adjective,"Supporting, reinforcing; of or related to accompaniment"
basically,adverb,"In a fundamental, essential or basic manner"
basically,adverb,Mostly; generally; for the most part
basically,adverb,(filler) used to refer to the most important or fundamental point the speaker is making; sometimes tending towards a meaningless filler word
basketball,noun,A sport in which two opposing teams of five players strive to put a ball through a hoop.
basketball,noun,The particular kind of ball used in the sport of basketball.
bathroom,noun,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet."
bathroom,noun,A lavatory: a room containing a toilet and (typically but not necessarily) a bathtub.
battlefield,noun,"The area where a land battle is or was fought, which is not necessarily a field."
behaviour,noun,The way a living creature behaves or acts.
behaviour,noun,The way a device or system operates.
benchmark,noun,A standard by which something is evaluated or measured.
benchmark,noun,A surveyor's mark made on some stationary object and shown on a map; used as a reference point.
benchmark,noun,A computer program that is executed to assess the performance of the runtime environment.
benchmark,verb,To measure the performance or quality of (an item) relative to another similar item in an impartial scientific manner.
blog,noun,"A website that allows users to reflect, share opinions, and discuss various topics in the form of an online journal, sometimes letting readers comment on their posts. Most blogs are written in a slightly informal tone (personal journals, news, businesses, etc.)"
blog,noun,An individual post to a blog.
blog,verb,To contribute to a blog.
blog,verb,"To blag, to steal something; to acquire something illegally."
blog,noun,(originally nonce word) A cocktail or punch served at science fiction conventions. Ingredients vary for different conventions.
blog,verb,To look sullen or sulky
bloke,noun,"A man, a fellow; an ordinary man, a man on the street."
bloke,noun,A man who behaves in a particularly laddish or overtly heterosexual manner.
bloke,noun,"(A lower deck term for) the Captain or Executive Officer of a warship, with particular reference to discipline and punishment."
bloke,noun,"An exemplar of a certain masculine, independent male archetype."
bloke,noun,An anglophone man.
bombing,verb,To attack using one or more bombs; to bombard.
bombing,verb,To fail dismally.
bombing,verb,"To jump into water in a squatting position, with the arms wrapped around the legs."
bombing,verb,To sound; to boom; to make a humming or buzzing sound.
bombing,verb,To cover an area in many graffiti tags.
bombing,verb,To add an excessive amount of chlorine to a pool when it has not been maintained properly.
bombing,verb,To make oneself drunk.
bombing,verb,"(especially with along, down, up etc.) To move at high speed."
bombing,noun,The action of dropping bombs from the air.
bombing,noun,The action of placing and detonating bombs.
boyfriend,noun,A male partner in an unmarried romantic relationship.
boyfriend,noun,A male friend.
breakthrough,noun,An advance through and past enemy lines.
